Campaign Name,Ad Group Name,Advertised SKU,Keyword,Match Type,Start Date,End Date,Clicks,Impressions,CTR,Total Spend,Average CPC,Currency,1-day Orders Placed (#), 1-day Ordered Product Sales ($) ,1-day Conversion Rate,1-day Same SKU Units Ordered,1-day Other SKU Units Ordered, 1-day Same SKU Units Ordered Product Sales ,1-day Other SKU Units Ordered Product Sales,1-week Orders Placed (#),1-week Ordered Product Sales ($),1-week Conversion Rate,1-week Same SKU Units Ordered,1-week Other SKU Units Ordered, 1-week Same SKU Units Ordered Product Sales ,1-week Other SKU Units Ordered Product Sales,1-month Orders Placed (#),1-month Ordered Product Sales ($),1-month Conversion Rate,1-month Same SKU Units Ordered,1-month Other SKU Units Ordered, 1-month Same SKU Units Ordered Product Sales ,1-month Other SKU Units Ordered Product Sales
QL030 (V2),Broad,V9-1PNF-UV8S,Gifts for 4 year old boys,BROAD,7/15/2017 0:00,7/16/2017 0:00,0,89,0.00%,0,N/A,USD,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0
QL030 (V2),Broad,V9-1PNF-UV8S,Gifts for 3 year old boys,BROAD,7/15/2017 0:00,7/16/2017 0:00,0,69,0.00%,0,N/A,USD,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0
QL030 (V2),Broad,V9-1PNF-UV8S,Toys for boys age 8,BROAD,7/15/2017 0:00,7/16/2017 0:00,0,17,0.00%,0,N/A,USD,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0
QL030 (V2),Broad,V9-1PNF-UV8S,Toys for boys age 7,BROAD,7/15/2017 0:00,7/16/2017 0:00,0,13,0.00%,0,N/A,USD,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0
QL030 (V2),Broad,V9-1PNF-UV8S,Toys for boys age 6,BROAD,7/15/2017 0:00,7/16/2017 0:00,0,5,0.00%,0,N/A,USD,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0
QL030 (V2),Broad,V9-1PNF-UV8S,Toys for boys age 5,BROAD,7/15/2017 0:00,7/16/2017 0:00,0,29,0.00%,0,N/A,USD,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0
QL030 (V2),Broad,V9-1PNF-UV8S,Toys for boys age 4,BROAD,7/15/2017 0:00,7/16/2017 0:00,0,22,0.00%,0,N/A,USD,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0
QL030 (V2),Broad,V9-1PNF-UV8S,Toys for boys age 3,BROAD,7/15/2017 0:00,7/16/2017 0:00,0,26,0.00%,0,N/A,USD,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0
QL030 (V2),Broad,V9-1PNF-UV8S,9 year old boy gifts,BROAD,7/15/2017 0:00,7/16/2017 0:00,0,23,0.00%,0,N/A,USD,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0
QL030 (V2),Broad,V9-1PNF-UV8S,7 year old boy gifts,BROAD,7/15/2017 0:00,7/16/2017 0:00,0,33,0.00%,0,N/A,USD,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0
